,rank,name,author,price,book_type,stars,reviews,link
86,#87,"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,127.00,Paperback,4.3 out of 5 stars,734,https://www.amazon.in/Childrens-Encyclopedia-Scientists-Discoveries-Familiarises/dp/9350570394?_encoding=UTF8&psc=1
87,#88,The Secret,Rhonda Byrne,440.00,Hardcover,4.5 out of 5 stars,"18,829",https://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1
88,#89,Oswaal CBSE Question Bank Class 10 Science (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,387.00,Paperback,4.7 out of 5 stars,165,https://www.amazon.in/Oswaal-Question-Science-Reduced-Syllabus/dp/9390222478?_encoding=UTF8&psc=1
89,#90,Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,250.00,Paperback,4.6 out of 5 stars,"6,979",https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1
90,#91,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,105.00,Paperback,4.5 out of 5 stars,"1,686",https://www.amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116?_encoding=UTF8&psc=1
91,#92,Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,99.00,Paperback,4.4 out of 5 stars,"1,761",https://www.amazon.in/Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669?_encoding=UTF8&psc=1
92,#93,1001 Activities Book,Dreamland Publications,280.00,Paperback,4.5 out of 5 stars,"2,472",https://www.amazon.in/1001-Activities-Book-Dreamland-Publications/dp/9350897245?_encoding=UTF8&psc=1
93,#94,Masala Lab: The Science of Indian Cooking,Krish Ashok,359.00,Paperback,4.6 out of 5 stars,31,https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375?_encoding=UTF8&psc=1
94,#95,How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,169.00,Paperback,4.3 out of 5 stars,741,https://www.amazon.in/How-Crack-Test-Reasoning-Jaikishan/dp/9313166755?_encoding=UTF8&psc=1
95,#96,Pride & Prejudice,Jane Austen,112.00,Paperback,4.5 out of 5 stars,"15,063",https://www.amazon.in/Pride-Prejudice-Jane-Austen/dp/8172344503?_encoding=UTF8&psc=1
96,#97,My Activity- ABC Colouring Book,Dreamland Publications,80.00,Paperback,4.5 out of 5 stars,582,https://www.amazon.in/My-Activity-ABC-Colouring-Book/dp/9350898853?_encoding=UTF8&psc=1
97,#98,Bhagavad Gita Original in English - Bhagavad Gita as It is Original in English,A. C. Bhaktivedanta Swami Prabhupad,222.00,Hardcover,4.8 out of 5 stars,508,https://www.amazon.in/Bhagavad-Gita-Original-English-As/dp/B07MDTX8BR?_encoding=UTF8&psc=1
98,#99,Lucent's Samanya Gyan (Hindi),Lucent,145.00,Paperback,4.4 out of 5 stars,"1,531",https://www.amazon.in/Lucents-Samanya-Gyan-Lucent/dp/9384761583?_encoding=UTF8&psc=1
99,#100,Wuthering Heights,Emily Brontë,113.00,Paperback,4.4 out of 5 stars,"8,077",https://www.amazon.in/Wuthering-Heights-Emily-Bront%C3%AB/dp/8172344899?_encoding=UTF8&psc=1
